player_name,birth_year,age_group,position,current_or_listed_club,football_xiaojiang_relation,relation_source_url,national_team_level,team_name_official,selection_type,selection_date,event_or_context,source_priority,national_team_source_url,source_title,confidence,notes
万项,2009,2009,中场,湖北星辉,长期队员,https://sports.sina.com.cn/china/2026-02-18/doc-ihyfjwiy0098342.shtml,U15,中国U-15国家男子足球选拔队,集训名单,2024-06-18,2024年第一期2009年龄段国少集训,official,https://www.thecfa.cn/zxwj/20240618/32155.html,中国足球协会关于组织2009年龄段男子国家少年足球选拔队集训的通知,high,验证状态: confirmed
赵松源,2009,2009,前锋,清华附中,长期队员,https://m.zhibo8.com/news/soccer/china/2023-11-23/655ece7d7d5cb.htm,U15,中国U-15国家男子足球选拔队,集训名单,2024-06-18,2024年第一期2009年龄段国少集训,official,https://www.thecfa.cn/zxwj/20240618/32155.html,中国足球协会关于组织2009年龄段男子国家少年足球选拔队集训的通知,high,验证状态: confirmed
黄子杰,2009,2009,后卫,佛山超盈实验中学,长期队员,https://m.zhibo8.com/news/soccer/china/2023-11-23/655ece7d7d5cb.htm,U15,中国U-15国家男子足球选拔队,集训名单,2024-06-18,2024年第一期2009年龄段国少集训,official,https://www.thecfa.cn/zxwj/20240618/32155.html,中国足球协会关于组织2009年龄段男子国家少年足球选拔队集训的通知,high,验证状态: confirmed
邝兆镭,2009,2009,前锋,广东广州,长期队员,https://www.thepaper.cn/newsDetail_forward_22453678,U15,中国U-15国家男子足球选拔队,集训名单,2024-06-18,2024年第一期2009年龄段国少集训,official,https://www.thecfa.cn/zxwj/20240618/32155.html,中国足球协会关于组织2009年龄段男子国家少年足球选拔队集训的通知,high,验证状态: confirmed
戴宥哲,2009,2009,中场,江苏南京,长期队员,https://m.zhibo8.com/news/soccer/china/2023-11-23/655ece7d7d5cb.htm,U15,中国U-15国家男子足球选拔队,集训名单,2024-06-18,2024年第一期2009年龄段国少集训,official,https://www.thecfa.cn/zxwj/20240618/32155.html,中国足球协会关于组织2009年龄段男子国家少年足球选拔队集训的通知,high,验证状态: confirmed
吕孟洋,2009,2009,中场,江苏徐州,长期队员,https://m.zhibo8.com/news/soccer/china/2023-11-23/655ece7d7d5cb.htm,U15,中国U-15国家男子足球选拔队,集训名单,2024-06-18,2024年第一期2009年龄段国少集训,official,https://www.thecfa.cn/zxwj/20240618/32155.html,中国足球协会关于组织2009年龄段男子国家少年足球选拔队集训的通知,high,验证状态: confirmed
李东宸,2010,2010,中场,北京,长期队员,https://www.thepaper.cn/newsDetail_forward_27389230,U15,中国U-15国家男子足球选拔队,集训名单,2024-06-18,2024年第一期2009年龄段国少集训,official,https://www.thecfa.cn/zxwj/20240618/32155.html,中国足球协会关于组织2009年龄段男子国家少年足球选拔队集训的通知,high,验证状态: confirmed
汪修昊,2009,2009,后卫,河南洛阳,长期队员,https://www.163.com/dy/article/JC58N72E0529A10P.html,U15,中国U-15国家男子足球选拔队,集训名单,2024-06-18,2024年第一期2009年龄段国少集训,official,https://www.thecfa.cn/zxwj/20240618/32155.html,中国足球协会关于组织2009年龄段男子国家少年足球选拔队集训的通知,high,验证状态: confirmed
廖梓成,2009,2009,门将,北京,长期队员,https://m.zhibo8.com/news/soccer/china/2023-11-23/655ece7d7d5cb.htm,U15,中国U-15国家男子足球选拔队,集训名单,2023-11-22,2023年2009年龄段精英集训营,official,https://www.thecfa.cn/zxwj/20231122/31560.html,中国足球协会关于组织2009年龄段男子国家少年足球选拔队精英集训的通知,high,验证状态: confirmed
赵松源,2009,2009,前锋,北京,长期队员,https://m.zhibo8.com/news/soccer/china/2023-11-23/655ece7d7d5cb.htm,U15,中国U-15国家男子足球选拔队,集训名单,2023-11-22,2023年2009年龄段精英集训营,official,https://www.thecfa.cn/zxwj/20231122/31560.html,中国足球协会关于组织2009年龄段男子国家少年足球选拔队精英集训的通知,high,验证状态: confirmed
周雨诺,2009,2009,后卫,北京,长期队员,https://m.zhibo8.com/news/soccer/china/2023-11-23/655ece7d7d5cb.htm,U15,中国U-15国家男子足球选拔队,集训名单,2023-11-22,2023年2009年龄段精英集训营,official,https://www.thecfa.cn/zxwj/20231122/31560.html,中国足球协会关于组织2009年龄段男子国家少年足球选拔队精英集训的通知,high,验证状态: confirmed
吴王允祥,2009,2009,中场,北京,长期队员,https://m.zhibo8.com/news/soccer/china/2023-11-23/655ece7d7d5cb.htm,U15,中国U-15国家男子足球选拔队,集训名单,2023-11-22,2023年2009年龄段精英集训营,official,https://www.thecfa.cn/zxwj/20231122/31560.html,中国足球协会关于组织2009年龄段男子国家少年足球选拔队精英集训的通知,high,验证状态: confirmed
吕孟洲,2009,2009,后卫,江苏,长期队员,https://m.zhibo8.com/news/soccer/china/2023-11-23/655ece7d7d5cb.htm,U15,中国U-15国家男子足球选拔队,集训名单,2023-11-22,2023年2009年龄段精英集训营,official,https://www.thecfa.cn/zxwj/20231122/31560.html,中国足球协会关于组织2009年龄段男子国家少年足球选拔队精英集训的通知,high,验证状态: confirmed
吕孟洋,2009,2009,中场,江苏,长期队员,https://m.zhibo8.com/news/soccer/china/2023-11-23/655ece7d7d5cb.htm,U15,中国U-15国家男子足球选拔队,集训名单,2023-11-22,2023年2009年龄段精英集训营,official,https://www.thecfa.cn/zxwj/20231122/31560.html,中国足球协会关于组织2009年龄段男子国家少年足球选拔队精英集训的通知,high,验证状态: confirmed
戴宥哲,2009,2009,中场,江苏,长期队员,https://m.zhibo8.com/news/soccer/china/2023-11-23/655ece7d7d5cb.htm,U15,中国U-15国家男子足球选拔队,集训名单,2023-11-22,2023年2009年龄段精英集训营,official,https://www.thecfa.cn/zxwj/20231122/31560.html,中国足球协会关于组织2009年龄段男子国家少年足球选拔队精英集训的通知,high,验证状态: confirmed
何浩源,2009,2009,中场,浙江,长期队员,https://m.zhibo8.com/news/soccer/china/2023-11-23/655ece7d7d5cb.htm,U15,中国U-15国家男子足球选拔队,集训名单,2023-11-22,2023年2009年龄段精英集训营,official,https://www.thecfa.cn/zxwj/20231122/31560.html,中国足球协会关于组织2009年龄段男子国家少年足球选拔队精英集训的通知,high,验证状态: confirmed
黄子杰,2009,2009,后卫,广东,长期队员,https://m.zhibo8.com/news/soccer/china/2023-11-23/655ece7d7d5cb.htm,U15,中国U-15国家男子足球选拔队,集训名单,2023-11-22,2023年2009年龄段精英集训营,official,https://www.thecfa.cn/zxwj/20231122/31560.html,中国足球协会关于组织2009年龄段男子国家少年足球选拔队精英集训的通知,high,验证状态: confirmed
毛永彬,2009,2009,门将,上海,长期队员,https://m.zhibo8.com/news/soccer/china/2023-11-23/655ece7d7d5cb.htm,U15,中国U-15国家男子足球选拔队,集训名单,2023-11-22,2023年2009年龄段精英集训营,official,https://www.thecfa.cn/zxwj/20231122/31560.html,中国足球协会关于组织2009年龄段男子国家少年足球选拔队精英集训的通知,high,验证状态: confirmed
赵峰屹,2009,2009,中场,河南,长期队员,https://m.zhibo8.com/news/soccer/china/2023-11-23/655ece7d7d5cb.htm,U15,中国U-15国家男子足球选拔队,集训名单,2023-11-22,2023年2009年龄段精英集训营,official,https://www.thecfa.cn/zxwj/20231122/31560.html,中国足球协会关于组织2009年龄段男子国家少年足球选拔队精英集训的通知,high,验证状态: confirmed
张林峒,2010,2010,中场,北京,长期队员,https://www.ppsports.com/article/news/1739223.html,U14,中国U-14国家男子足球选拔队,集训名单,2024-06-10,2024年2010年龄段集训拉练,official,https://www.thecfa.cn/zxwj/20240610/32140.html,中国足球协会关于组织2010年龄段男子国家少年足球选拔队集训的通知,high,验证状态: confirmed
刘凯源,2010,2010,前锋,福建,长期队员,https://www.163.com/dy/article/K4J398AA0529A10P.html,U14,中国U-14国家男子足球选拔队,集训名单,2024-06-10,2024年2010年龄段集训拉练,official,https://www.thecfa.cn/zxwj/20240610/32140.html,中国足球协会关于组织2010年龄段男子国家少年足球选拔队集训的通知,high,验证状态: confirmed
李佑安,2010,2010,中场,深圳,长期队员,https://www.ppsports.com/article/news/1739223.html,U14,中国U-14国家男子足球选拔队,集训名单,2024-06-10,2024年2010年龄段集训拉练,official,https://www.thecfa.cn/zxwj/20240610/32140.html,中国足球协会关于组织2010年龄段男子国家少年足球选拔队集训的通知,high,验证状态: confirmed
刘礼豪,2010,2010,中场,广东,长期队员,https://www.ppsports.com/article/news/1739223.html,U14,中国U-14国家男子足球选拔队,集训名单,2024-06-10,2024年2010年龄段集训拉练,official,https://www.thecfa.cn/zxwj/20240610/32140.html,中国足球协会关于组织2010年龄段男子国家少年足球选拔队集训的通知,high,验证状态: confirmed
朴智轩,2010,2010,后卫,大连龙卷风,长期队员,https://www.ppsports.com/article/news/1739223.html,U14,中国U-14国家男子足球选拔队,集训名单,2024-06-10,2024年2010年龄段集训拉练,official,https://www.thecfa.cn/zxwj/20240610/32140.html,中国足球协会关于组织2010年龄段男子国家少年足球选拔队集训的通知,high,验证状态: confirmed
袁博涵,2010,2010,中场,深圳宝安,长期队员,https://www.ppsports.com/article/news/1739223.html,U14,中国U-14国家男子足球选拔队,集训名单,2024-06-10,2024年2010年龄段集训拉练,official,https://www.thecfa.cn/zxwj/20240610/32140.html,中国足球协会关于组织2010年龄段男子国家少年足球选拔队集训的通知,high,验证状态: confirmed
詹景源,2010,2010,前锋,深圳罗湖,曾代表参赛,https://www.ppsports.com/article/news/1739223.html,U14,中国U-14国家男子足球选拔队,集训名单,2024-06-10,2024年2010年龄段集训拉练,official,https://www.thecfa.cn/zxwj/20240610/32140.html,中国足球协会关于组织2010年龄段男子国家少年足球选拔队集训的通知,high,验证状态: confirmed
沙明,2011,2011,前锋,清水心跳,长期队员,https://m.zhibo8.com/news/soccer/china/2026-04-29/662f5cc17a3a.htm,U15,中国U-15国家男子足球队,拉练名单/正式出场,2026-04-10,2026年意大利国家之杯12国赛,official,https://www.thecfa.cn/zxwj/20260410/33820.html,中国足球协会关于组织U-15国家男子足球队赴意大利参赛的通知,high,验证状态: confirmed
宋泓渝,2011,2011,中场,中国足球小将,长期队员,https://m.zhibo8.com/news/soccer/china/2026-04-29/662f5cc17a3a.htm,U15,中国U-15国家男子足球队,拉练名单,2026-04-10,2026年意大利国家之杯12国赛,official,https://www.thecfa.cn/zxwj/20260410/33820.html,中国足球协会关于组织U-15国家男子足球队赴意大利参赛的通知,high,验证状态: confirmed
曾晨,2011,2011,中场,中国足球小将,长期队员,https://m.zhibo8.com/news/soccer/china/2026-04-29/662f5cc17a3a.htm,U15,中国U-15国家男子足球队,拉练名单,2026-04-10,2026年意大利国家之杯12国赛,official,https://www.thecfa.cn/zxwj/20260410/33820.html,中国足球协会关于组织U-15国家男子足球队赴意大利参赛的通知,high,验证状态: confirmed
姜胤宇,2008,2008,后卫,青岛追风少年,曾代表参赛,https://www.dongqiudi.com/articles/3829023.html,U16,中国U-16国家男子足球队,集训名单,2024-03-15,2024年第一期2008年龄段集训,official,https://www.thecfa.cn/zxwj/20240315/31822.html,中国足球协会关于组织2008年龄段国家少年男子足球队集训的通知,high,验证状态: confirmed
杨皓砼,2010,2010,后卫,未知,长期队员,https://www.dongqiudi.com/articles/3822119.html,,,,,,social,,未入选国字号,low,没有录入的各级国家队集训/比赛记录; 验证状态: pending
李贺哲,2010,2010,中场,未知,长期队员,https://www.dongqiudi.com/articles/3822119.html,,,,,,social,,未入选国字号,low,没有录入的各级国家队集训/比赛记录; 验证状态: pending
杜双杰,2010,2010,前锋,未知,长期队员,https://www.dongqiudi.com/articles/3822119.html,,,,,,social,,未入选国字号,low,没有录入的各级国家队集训/比赛记录; 验证状态: pending
魏子烜,2010,2010,中场,未知,长期队员,https://www.dongqiudi.com/articles/3822119.html,,,,,,social,,未入选国字号,low,没有录入的各级国家队集训/比赛记录; 验证状态: pending
